account,name
47336,GG_custom_all-0.012
48295,ZZ
47988,FF
45608,II
48383,II
48388,II
42541,ZZ
44646,F
48311,AWW
48502,DD
48567,FF
48736,ZZ
48810,EE
49071,II
49507,FF
49571,ZZ
48515,ZZ
46468,GG - Do not use - requires SVP approval
48315,II
48156,ZZ
47277,II
48408,FF
47203,C_ICAN
48591,DD
48589,DD
48635,FF
47950,YY
48543,ZZ
48318,ZZ
48660,D
43563,FF
48672,FF
46850,ZZ
48689,II
48711,DD
48661,D
48647,DD
48714,DD
48709,DD
A9066,FF
48640,ZZ
48796,II
48783,ZZ
48725,E
41179,YY
48790,II_RevGuard
47567,ZZ
48713,DD
48788,ZZ
48698,DD
48539,ZZ
48873,ZZ
49078,FF_A Marketing Resource
49062,II
46028,YY_senergy2
49059,C_ICAN
A9313,D
48435,YY1
48145,ZZ
48163,ZZ
A9314,D
49509,II
49485,II
48910,QQ
49510,II
49480,YY
49488,ZZ
49436,QQ
8999,FF_Tiger
49550,FF
43835,ZZ
48466,II
49577,ZZ
48699,YY
49526,YY
A9065,DD
49760,C_ICAN
44800,YY
48900,YY
49719,D
49905,ZZ
49913,FF
49958,F
49998,ZZ
50054,FF
50523,ZZ
50550,ZZ
48441,FF
A9040,DD
49791,DD
49792,DD
49798,II
49800,II
49860,II
49835,FF1_Vialinx3
49438,YY
49846,GG_custom_all-0.012
49847,GG_custom_all-0.012
49901,YY
48749,ZZ
49929,FF_pennymac_bandwith
49439,ZZ
40121,ZZ
48857,ZZ
45623,ZZ2
43582,DD
42763,C_ICAN
49815,ZZ
50087,DD
50036,YY
47889,YY
46263,ZZ
49414,YY
49720,YY
50065,YY
50153,QQ
50032,YY
49801,YY
50219,YY
48550,FF
41416,FF
50294,YY
50146,ZZ
50185,YY
50161,YY
50338,YY
50018,YY
123,DD
50078,FF
50120,YY
49926,ZZ
49474,YY
44822,FF
50555,II_HV_AD
49884,YY
50211,DD
47406,FF
50554,II_HV_AD
50662,ZZ
50647,ZZ
50814,FF
50889,FF
50961,D
51183,FF
50580,FF
50576,YY
46684,II
50689,FF
50648,II
50664,FF1
47103,C_ICAN - Sokolove
50695,II
50734,AWW
48240,FF_Stellar Restaurant Sol
50765,II
46739,GG - Do not use - requires SVP approval
50788,FF
50225,FF
50762,ZZ
50806,DD
50213,II
50481,YY
9090,DD
50746,YY
43995,FF
A9031,DD
9091,DD
50944,II
50901,DD
50242,ZZ
49886,FF
51102,ZZ
49424,YY
51110,FF
51176,FF
51337,ZZ
51338,FF
51339,DD
51363,FF
51436,ZZ
51568,FF
51608,FF
51635,FF
49856,YY
50654,C_ICAN_Menacola Mktg
50574,ZZ1
51166,FF
47810,YY
51303,YY
51179,DD
90999,DD
51182,DD
A9060,T
51329,II
43629,ZZ
46807,ZZ
A9032,DD
42809,YY
51466,DD
51522,DD_Five9 Test
A9073,DD
